PLANT,ID,TREAT,TREAT 2,REP,10,20,30,40,50,60
120,M4,paper,paper,4,12,11,8,7,6,5
121,M5,paper,paper,5,8,5,3,3,3,2
122,M6,paper,paper,6,8,6,5,5,5,4
123,M7,paper,paper,7,16,12,11,10,8,7
124,M1,paper,paper,1,12,8,6,5,5,5
125,M2,paper,paper,2,10,7,7,5,5,4
126,M3,paper,paper,3,9,6,6,5,4,3
127,M4,paper,paper,4,11,6,6,5,5,5
128,M5,paper,paper,5,9,9,6,5,4,2
129,M6,paper,paper,6,6,4,4,3,3,3
130,#17,PLRVwild,pBNUP,1,18,16,16,16,13,13
131,#16,PLRVwild,pBNUP,2,16,10,9,9,9,8
132,#18,PLRVwild,pBNUP,3,19,16,13,10,9,9
133,##,PLRVwild,PLRVwild,1,17,15,15,14,13,11
134,#24,PLRVwild,PLRVwild,2,20,13,12,10,9,8
135,#22,PLRVwild,PLRVwild,3,18,15,15,13,10,8
136,#20,PLRVwild,PLRVwild,4,24,22,17,16,16,14
137,#21,PLRVwild,PLRVwild,5,12,8,8,7,5,5
138,#6,PLRVwild,PLRVwild,1,24,19,18,16,15,13
139,#9,PLRVwild,PLRVwild,2,19,17,14,14,11,11
140,#7,PLRVwild,PLRVwild,3,20,15,14,12,11,11
141,#19,PLRVwild,PLRVwild,1,18,14,13,10,9,8
142,#20,PLRVwild,PLRVwild,2,20,16,15,13,13,12
143,#24,PLRVwild,PLRVwild,3,16,12,11,9,9,7
144,#23,PLRVwild,PLRVwild,4,20,17,14,13,13,12
145,#22,PLRVwild,PLRVwild,5,22,16,15,15,13,13
146,#21,PLRVwild,PLRVwild,6,23,20,20,18,17,14
