Run,ID #,count of plants,Plant,Genotype,Biotype,virus,PEMV.PCR,Counts,absorbance,log Counts,sqrt_rel_increase,Infection status,relative increase,Retain?,Bean Aphids
One,AB1,5,Alfalfa,1,pea,BLRV,,113,1.173,4.736198448,3.209361307,YES,10.3,Keep,
One,AB1,6,Alfalfa,1,pea,BLRV,,134,0.918,4.905274778,3.521363372,YES,12.4,Keep,
One,A1,2,Alfalfa,1,pea,Sham,,106,0.433,4.672828834,3.098386677,NO,9.6,Keep,
One,A1,3,Alfalfa,1,pea,Sham,,40,0.588,3.713572067,1.732050808,NO,3,Keep,
One,AB2,13,Alfalfa,2,pea,BLRV,,3,0.761,1.386294361,,YES,-0.7,Keep,
One,AB2,14,Alfalfa,2,pea,BLRV,,147,0.966,4.997212274,3.701351105,YES,13.7,Keep,
One,A2,9,Alfalfa,2,pea,Sham,,0,0.854,0,,YES,-1,Drop,
One,A2,11,Alfalfa,2,pea,Sham,,4,0.547,1.609437912,,NO,-0.6,Keep,
One,AB3,21,Alfalfa,3,alf,BLRV,,95,0.709,4.564348191,2.915475947,YES,8.5,Keep,
One,AB3,22,Alfalfa,3,alf,BLRV,,229,0.823,5.438079309,4.679743583,YES,21.9,Keep,
One,A3,17,Alfalfa,3,alf,Sham,,7,0.612,2.079441542,,YES,-0.3,Drop,
One,A3,20,Alfalfa,3,alf,Sham,,56,0.561,4.043051268,2.144761059,NO,4.6,Keep,
One,AB4,29,Alfalfa,4,alf,BLRV,,82,0.697,4.418840608,2.683281573,YES,7.2,Keep,
One,AB4,30,Alfalfa,4,alf,BLRV,,164,0.977,5.105945474,3.924283374,YES,15.4,Keep,
One,A4,25,Alfalfa,4,alf,Sham,,64,0.657,4.17438727,2.323790008,YES,5.4,Drop,
One,A4,26,Alfalfa,4,alf,Sham,,161,0.609,5.087596335,3.885871846,YES,15.1,Drop,
One,AB5,37,Alfalfa,5,pea,BLRV,,1,0.752,0.693147181,,YES,-0.9,Keep,
One,AB5,38,Alfalfa,5,pea,BLRV,,6,1.032,1.945910149,,YES,-0.4,Keep,
One,A5,33,Alfalfa,5,pea,Sham,,0,0.667,0,,YES,-1,Drop,
One,A5,36,Alfalfa,5,pea,Sham,,1,0.583,0.693147181,,NO,-0.9,Keep,
One,FB1,7,Faba,1,pea,BLRV,,230,0.747,5.442417711,4.69041576,YES,22,Keep,
One,FB1,8,Faba,1,pea,BLRV,,249,0.718,5.521460918,4.888762625,YES,23.9,Keep,
One,FP1,4,Faba,1,pea,PEMV,,269,0.309,5.598421959,5.08920426,NO,25.9,Drop,
One,FP1,11,Faba,1,pea,PEMV,,417,3.39,6.035481433,6.379655163,YES,40.7,Keep,
One,F1,1,Faba,1,pea,Sham,,213,0.676,5.365976015,4.50555213,YES,20.3,Drop,
One,F1,6,Faba,1,pea,Sham,,191,Sham,5.257495372,4.254409477,NO,18.1,Keep,
